date_time(UTC:PDT+7),raw_pressure(cm),barocorrected_pressure(cm),adjusted_stage(cm),estimated_discharge(cms),water_temperature(deg_C),discharge_flag
2023-04-22 16:30:00,974.43,231.1905590820312,220.87762945518494,99.15568019178757,0.105,2
2023-04-22 17:00:00,974.49,231.2505590820313,220.93762945518503,99.20938382391577,0.106,2
2023-04-22 17:30:00,974.32,231.0805590820313,220.76762945518504,99.05725452882405,0.108,2
2023-04-22 18:00:00,974.13,230.89055908203125,220.577629455185,98.88734106347162,0.109,2
2023-04-22 18:30:00,973.76,230.52055908203124,220.20762945518499,98.55680057937599,0.111,2
2023-04-22 19:00:00,973.38,230.14055908203125,219.827629455185,98.217799469745,0.112,2
2023-04-22 19:30:00,972.8,229.5605590820312,219.24762945518495,97.70130128890365,0.114,2
2023-04-22 20:00:00,972.11,228.8705590820313,218.55762945518504,97.0883029562992,0.116,2
2023-04-22 20:30:00,971.58,228.3405590820313,218.02762945518504,96.61852486039824,0.116,2
2023-04-22 21:00:00,970.8,227.5605590820312,217.24762945518495,95.92885506868143,0.117,2
2023-04-22 21:30:00,970.1,226.86055908203127,216.54762945518502,95.311647939547,0.119,2
2023-04-22 22:00:00,969.49,226.2505590820313,215.93762945518503,94.77512986857917,0.119,2
2023-04-22 22:30:00,968.8,225.5605590820312,215.24762945518495,94.16974769871149,0.119,2
2023-04-22 23:00:00,968.04,224.8005590820312,214.48762945518496,93.50479354375587,0.119,2
2023-04-22 23:30:00,967.12,223.88055908203123,213.56762945518497,92.70243817814672,0.119,2
2023-04-23 00:00:00,966.32,223.0805590820313,212.76762945518504,92.00704609129004,0.12,2
2023-04-23 00:30:00,965.68,222.4405590820312,212.12762945518494,91.45228045190217,0.119,2
2023-04-23 01:00:00,965.28,222.0405590820312,211.72762945518494,91.10625141667917,0.12,2
2023-04-23 01:30:00,964.97,221.73055908203128,211.41762945518502,90.83844928765718,0.119,2
2023-04-23 02:00:00,964.83,221.5905590820313,211.27762945518504,90.71761245504446,0.12,2
2023-04-23 02:30:00,964.96,221.7205590820313,211.40762945518503,90.82981589630037,0.119,2
2023-04-23 03:00:00,965.71,222.4705590820313,212.15762945518503,91.47825432792172,0.12,2
2023-04-23 03:30:00,966.38,223.14055908203125,212.827629455185,92.05912594764123,0.12,2
2023-04-23 04:00:00,967.51,224.27055908203124,213.95762945518499,93.04222057653364,0.119,2
2023-04-23 04:30:00,968.75,225.51055908203125,215.197629455185,94.12594130046469,0.119,2
2023-04-23 05:00:00,969.83,226.5905590820313,216.27762945518504,95.07401941339154,0.119,2
2023-04-23 05:30:00,971.0,227.76055908203125,217.447629455185,96.10550016830942,0.119,2
2023-04-23 06:00:00,972.22,228.98055908203128,218.66762945518502,97.1859212263681,0.119,2
2023-04-23 06:30:00,973.58,230.3405590820313,220.02762945518504,98.39616135373656,0.119,2
2023-04-23 07:00:00,975.1,231.86055908203127,221.54762945518502,99.75604790121862,0.119,2
2023-04-23 07:30:00,976.56,233.3205590820312,223.00762945518494,101.0694585821612,0.119,2
2023-04-23 08:00:00,978.02,234.78055908203123,224.46762945518498,102.38991132725886,0.119,2
2023-04-23 08:30:00,979.39,236.15055908203124,225.83762945518498,103.63535601594766,0.119,2
2023-04-23 09:00:00,980.59,237.35055908203128,227.03762945518503,104.73132831562329,0.119,2
2023-04-23 09:30:00,981.49,238.2505590820313,227.93762945518503,105.5564101231323,0.119,2
2023-04-23 10:00:00,982.27,239.03055908203123,228.71762945518498,106.27362892031748,0.118,2
2023-04-23 10:30:00,982.82,239.5805590820313,229.26762945518504,106.7805577499538,0.119,2
2023-04-23 11:00:00,983.35,240.11055908203127,229.79762945518502,107.26998904783242,0.119,2
2023-04-23 11:30:00,983.43,240.1905590820312,229.87762945518494,107.3439452419395,0.119,2
2023-04-23 12:00:00,983.44,240.2005590820313,229.88762945518505,107.35319123693422,0.119,2
2023-04-23 12:30:00,983.2,239.9605590820313,229.64762945518504,107.13137756887781,0.12,2
2023-04-23 13:00:00,983.15,239.91055908203123,229.59762945518497,107.08519008839353,0.12,2
2023-04-23 13:30:00,982.39,239.15055908203124,228.83762945518498,106.3841471328599,0.12,2
2023-04-23 14:00:00,982.38,239.14055908203125,228.827629455185,106.37493548130205,0.121,2
2023-04-23 14:30:00,982.01,238.77055908203124,228.45762945518499,106.0343345428917,0.121,2
2023-04-23 15:00:00,981.51,238.27055908203124,227.95762945518499,105.57477544605472,0.121,2
2023-04-23 15:30:00,981.25,238.01055908203125,227.697629455185,105.33612853414505,0.122,2
2023-04-23 16:00:00,980.8,237.5605590820312,227.24762945518495,104.92360971447751,0.122,2
2023-04-23 16:30:00,980.53,237.2905590820312,226.97762945518494,104.67641736038608,0.123,2
2023-04-23 17:00:00,980.13,236.89055908203125,226.577629455185,104.31064641030025,0.124,2
2023-04-23 17:30:00,979.57,236.3305590820313,226.01762945518504,103.79945016438218,0.125,2
2023-04-23 18:00:00,979.07,235.8305590820313,225.51762945518504,103.34389621148357,0.126,2
2023-04-23 18:30:00,978.29,235.0505590820312,224.73762945518496,102.63487490253003,0.127,2
2023-04-23 19:00:00,977.54,234.3005590820312,223.98762945518496,101.9550138671203,0.127,2
2023-04-23 19:30:00,976.87,233.63055908203123,223.31762945518497,101.34924036510162,0.128,2
2023-04-23 20:00:00,976.16,232.9205590820312,222.60762945518493,100.70891897018798,0.129,2
2023-04-23 20:30:00,975.3,232.0605590820312,221.74762945518495,99.93555030744662,0.13,2
2023-04-23 21:00:00,974.58,231.3405590820313,221.02762945518504,99.28996164571801,0.131,2
2023-04-23 21:30:00,973.67,230.4305590820312,220.11762945518495,98.47646752432021,0.131,2
2023-04-23 22:00:00,972.46,229.2205590820313,218.90762945518503,97.39904626392706,0.131,2
2023-04-23 22:30:00,971.04,227.8005590820312,217.48762945518496,96.14084519092266,0.131,2
2023-04-23 23:00:00,969.59,226.35055908203128,216.03762945518503,94.86299846472424,0.131,2
2023-04-23 23:30:00,968.14,224.90055908203124,214.58762945518498,93.59217701345943,0.131,2
2023-04-24 00:00:00,966.55,223.3105590820312,212.99762945518495,92.2067512128511,0.131,2
2023-04-24 00:30:00,964.16,220.9205590820312,210.60762945518493,90.1402361495083,0.13,2
2023-04-24 01:00:00,961.97,218.73055908203128,208.41762945518502,88.26356083849092,0.13,2
2023-04-24 01:30:00,959.64,216.40055908203124,206.08762945518498,86.28474088610683,0.13,2
2023-04-24 02:00:00,957.88,214.64055908203125,204.327629455185,84.8022382683912,0.13,2
2023-04-24 02:30:00,956.62,213.38055908203123,203.06762945518497,83.74738562065713,0.129,2
2023-04-24 03:00:00,956.06,212.8205590820312,202.50762945518494,83.280302730778,0.129,2
2023-04-24 03:30:00,956.43,213.1905590820312,202.87762945518494,83.58879091231724,0.129,2
2023-04-24 04:00:00,957.53,214.2905590820312,203.97762945518494,84.50868020994432,0.128,2
2023-04-24 04:30:00,958.93,215.6905590820312,205.37762945518494,85.68541717460202,0.128,2
2023-04-24 05:00:00,960.82,217.5805590820313,207.26762945518504,87.28458878825641,0.127,2
2023-04-24 05:30:00,963.42,220.1805590820312,209.86762945518495,89.50429624615327,0.127,2
2023-04-24 06:00:00,966.25,223.01055908203125,212.697629455185,91.94630154578986,0.126,2
2023-04-24 06:30:00,969.1,225.86055908203127,215.54762945518502,94.43276171723308,0.125,2
2023-04-24 07:00:00,971.51,228.27055908203124,217.95762945518499,96.55654861802537,0.125,2
2023-04-24 07:30:00,974.03,230.7905590820312,220.47762945518494,98.79796101209853,0.125,2
2023-04-24 08:00:00,976.13,232.89055908203125,222.577629455185,100.68189981724268,0.124,2
2023-04-24 08:30:00,977.87,234.63055908203123,224.31762945518497,102.25392426852844,0.123,2
2023-04-24 09:00:00,979.47,236.23055908203128,225.91762945518502,103.70827359504577,0.123,2
2023-04-24 09:30:00,980.73,237.49055908203127,227.177629455185,104.85949983286744,0.123,2
2023-04-24 10:00:00,981.76,238.52055908203124,228.20762945518499,105.80445259926661,0.123,2
2023-04-24 10:30:00,982.75,239.51055908203125,229.197629455185,106.71598456053806,0.123,2
2023-04-24 11:00:00,983.25,240.01055908203125,229.697629455185,107.17757322269998,0.123,2
2023-04-24 11:30:00,983.44,240.2005590820313,229.88762945518505,107.35319123693422,0.123,2
2023-04-24 12:00:00,983.33,240.0905590820313,229.77762945518504,107.2515032677823,0.122,2
2023-04-24 12:30:00,982.93,239.6905590820312,229.37762945518494,106.882062289533,0.123,2
2023-04-24 13:00:00,982.49,239.2505590820313,228.93762945518503,106.47628165151534,0.122,2
2023-04-24 13:30:00,981.96,238.7205590820313,228.40762945518503,105.98834177475861,0.123,2
2023-04-24 14:00:00,981.48,238.24055908203127,227.927629455185,105.54722795337227,0.123,2
2023-04-24 14:30:00,980.69,237.4505590820313,227.13762945518505,104.82287283491398,0.123,2
2023-04-24 15:00:00,980.15,236.91055908203123,226.59762945518497,104.3289224775174,0.123,2
2023-04-24 15:30:00,979.54,236.3005590820312,225.98762945518496,103.77209374104905,0.124,2
2023-04-24 16:00:00,979.05,235.8105590820312,225.49762945518495,103.32569115962045,0.124,2
2023-04-24 16:30:00,978.55,235.3105590820312,224.99762945518495,102.8709927489929,0.125,2
2023-04-24 17:00:00,978.15,234.91055908203123,224.59762945518497,102.50782676542093,0.125,2
2023-04-24 17:30:00,977.71,234.4705590820313,224.15762945518503,102.1089531658088,0.126,2
2023-04-24 18:00:00,977.41,234.1705590820312,223.85762945518493,101.8373598989614,0.126,2
2023-04-24 18:30:00,977.11,233.8705590820313,223.55762945518504,101.56606355713514,0.127,2
2023-04-24 19:00:00,976.92,233.6805590820312,223.36762945518495,101.39439618131983,0.128,2
2023-04-24 19:30:00,976.53,233.2905590820312,222.97762945518494,101.04239977182485,0.129,2
2023-04-24 20:00:00,976.1,232.86055908203127,222.54762945518502,100.65488363962628,0.129,2
2023-04-24 20:30:00,975.7,232.4605590820313,222.14762945518504,100.29495231722372,0.13,2
2023-04-24 21:00:00,975.22,231.98055908203128,221.66762945518502,99.86373345296964,0.13,2
